date,regime_zone,signal_score
2023-11-24,NEUTRAL,1.4039
2023-11-27,EUPHORIA,9.3044
2023-11-28,EUPHORIA,64.2885
2023-11-29,RISK-OFF,-23.0963
2023-11-30,EUPHORIA,12.6711
2023-12-01,EUPHORIA,41.4882
2023-12-04,RISK-OFF,-31.2676
2023-12-05,EUPHORIA,11.6865
2023-12-06,EUPHORIA,37.733
2023-12-07,NEUTRAL,-2.0654
2023-12-08,EUPHORIA,38.5906
2023-12-11,EUPHORIA,30.2641
2023-12-12,EUPHORIA,23.6957
2023-12-13,EUPHORIA,71.1735
2023-12-14,NEUTRAL,-0.0925
2023-12-15,RISK-OFF,-43.9315
2023-12-18,EUPHORIA,36.715
2023-12-19,EUPHORIA,31.402
2023-12-20,RISK-OFF,-19.0794
2023-12-21,RISK-OFF,-10.1027
2023-12-22,EUPHORIA,17.2731
2023-12-26,EUPHORIA,58.426
2023-12-27,RISK-ON,5.6921
2023-12-28,RISK-OFF,-40.144
2023-12-29,NEUTRAL,2.2163
2024-01-02,RISK-OFF,-62.9705
2024-01-03,RISK-OFF,-27.0148
2024-01-04,RISK-OFF,-78.1643
2024-01-05,EUPHORIA,19.0908
2024-01-08,RISK-OFF,-16.6274
2024-01-09,RISK-OFF,-100.7553
2024-01-10,EUPHORIA,38.9791
2024-01-11,NEUTRAL,-3.486
